975900,4735,Ghosts of Mars
10408933,8881,Alexander's Ragtime Band
6631279,1782,Little city
171005,1224,Henry V
30388930,4463,1919
77856,1028,Mary Poppins
612710,2892,New Rose Hotel
156558,4371,Baby Boy
26067101,6402,Siam Sunset
26878691,5830,Mysterious Island
25960460,7278,Daddy and Them
4951456,6174,Kinjite: Forbidden Subjects
11633165,4731,Innocence
12053509,4622,Loverboy
21235485,7233,Mesmerized
1254263,31270,Shivers
164387,3420,...And Justice for All
7767613,8398,Star!
7707787,3222,Carmen
3550323,81,Things to Do in Denver When You're Dead
1765938,6730,Convoy
18902861,7444,14 Going on 30
1305819,4222,C.H.U.D.
35847891,26562,White Nights
1031231,2843,"Black Cat, White Cat"
196176,6301,Straw Dogs
2509881,4494,Critters 3
32839744,52865,Digger
748616,8014,"Spring, Summer, Fall, Winter... and Spring"
336846,1380,Grease
3829646,26527,What Have I Done To Deserve This?
3033993,51834,Becoming Jane
1588008,99,Heidi Fleiss: Hollywood Madam
103021,3498,Midnight Express
1940449,519,RoboCop 3
362719,2640,Superman
7696753,3461,Lord of the Flies
17379289,5704,Without Warning
10705531,3379,On the Beach
4459059,1550,Trial and Error
413207,8604,Taxi
4069274,27888,When Will I Be Loved
3681139,4221,Necessary Roughness
5549065,56757,Sweeney Todd: The Demon Barber of Fleet Street
171058,7618,Chaplin
2608958,875,Nothing to Lose
14773122,4070,Amy
6170621,7306,Herod's Law
33148159,6712,Lutter
1033297,5219,Resident Evil
9105523,301,Picture Bride
15737392,62669,Black Rider
207680,282,Nell
5771666,2252,Hero
1858682,5397,Monkey Business
7235116,2956,Someone to Watch Over Me
5254729,55100,I Could Never Be Your Woman
7447592,7808,Mayerling
235331,5498,Red Beard
22697314,3469,Inherit the Wind
1249014,6858,Knife in the Water
28360743,1457,Fools Rush In
15297854,60768,CSNY Déjà Vu
6004372,988,Grace of My Heart
4473622,6842,Images
8637169,6554,Garage Days
30957142,7772,Undercurrent
7731853,57478,"Laugh, Clown, Laugh"
12091274,52545,Puccini for Beginners
76345,3729,Shaft
1226289,3857,Bless the Child
2450188,456,Flesh
44218,33237,San Francisco
1135297,4792,13 Ghosts
12452237,2608,Heaven
1307956,8915,Stage Beauty
2216254,254,Jefferson in Paris
27064671,5744,Four Friends
1964091,51412,Next
1094668,5985,Asoka
6721185,461,Go Fish
1028671,6963,Devil's Playground
1378672,6067,Ordinary Decent Criminal
22358819,5540,Clash of the Titans
706803,1586,G.I. Jane
1851703,3185,Snow Falling on Cedars
3917873,7247,Chitty Chitty Bang Bang
5363369,32325,Yanks
7266768,1439,Meet Wally Sparks
1033477,7449,Godsend
24300269,4556,Track 29
32505827,6691,Dost
6973699,3343,And God Created Woman
7536753,4167,10 Minutes
17711304,32109,Rendezvous
5884079,4868,Bangkok Dangerous
28736289,1718,Stranger in the House
817057,4443,Outland
399402,1022,Cinderella
8437284,1483,Cash
7586366,1471,Boys Life 5
4836072,914,My Fair Lady
21426256,3094,Maurie
3340222,25898,Day of Wrath
2262277,6244,Salaam Bombay!
5240350,5369,Big Bad Mama
12095072,6998,House of Cards
249406,3061,Holiday Inn
7153927,3664,Puppet Master 5: The Final Chapter
27383563,5764,Looper
34129623,692,Sold
957179,27648,Bright Young Things
168571,2349,Mona Lisa
6244632,47815,Crossover
846329,42217,Late Spring
1231856,2861,For Love of the Game
16573952,2448,Virus
934809,4802,Operation Petticoat
1612686,5476,Halloween Resurrection
14415689,2230,Always Tell Your Wife
5137345,64368,Ninja III: The Domination
10017049,5105,Don't Look Now
5150761,3966,Devour
612007,31547,Lessons of Darkness
7299774,4913,Circus of Horrors
2028217,49932,Inland Empire
1911903,26189,"I Love You, Alice B. Toklas"
28839628,961,Little Lord Fauntleroy
11259949,947,My Man Godfrey
34055313,5067,American Adobo
1157158,5265,Death to Smoochy
3028248,4578,Chances Are
3432108,32617,Eye of the Tiger
1341543,26339,Dolemite
4501185,2807,Universal Soldier: The Return
1774709,8819,Double Trouble
5877719,3322,3 Strikes
3059075,8040,Brain Donors
508985,1733,Afterglow
5049873,1184,Mediterraneo
1871167,7294,Welcome to Mooseport
18487239,4559,Vice Versa
2313467,8291,Ten Little Indians
1472852,5548,Down and Out in Beverly Hills
13194784,2374,Gung Ho!
1886189,26699,Close-up
1918683,5305,Return of the Killer Tomatoes
2110246,4819,Go Figure
5566878,4743,Tortilla Soup
5876575,56165,K2
1480748,470,House Party 3
